Issue key,Issue id,Summary,Issue Type,Custom field (Story Points),Status,Custom field (Epic Link),Epic Link Summary,Assignee,Assignee Id,Created,Updated,Labels,Labels,Labels,Labels
PART-66,20985,Configure CI devDependencies,Task,,To Do,PART-234,Express Tech Excellence,,,23/Jan/23 11:48 AM,02/Mar/23 2:15 PM,,,,
PART-69,20986,Optimize paginated care request queries (memory),Task,,To Do,PART-234,Express Tech Excellence,,,24/Jan/23 1:24 PM,24/Feb/23 2:47 PM,part/Backend,,,
PART-76,20987,FE: add jest-mock-extended library - testing with TS easily,Task,,To Do,PART-234,Express Tech Excellence,,,25/Jan/23 5:13 PM,24/Feb/23 2:47 PM,,,,
PART-79,20988,Lint FE on CI - phase 1,Task,,To Do,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,27/Jan/23 1:14 PM,07/Apr/23 1:37 PM,part/Frontend,,,
PART-81,20789,Refactor the finalize care - risk strat bypass implementation,Task,3.0,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,30/Jan/23 2:35 PM,07/Mar/23 7:33 AM,part/Frontend,,,
PART-83,20989,GitHub pr template: feature gate & pic/vid checkbox,Task,,Done,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,31/Jan/23 11:38 AM,05/Apr/23 8:36 AM,,,,
PART-91,20991,TechDebt: Eager loading associations in queries,Task,1.0,To Do,PART-234,Express Tech Excellence,Antonio Antillon,61f81bb630f6b8006aa75942,01/Feb/23 3:31 PM,14/Mar/23 2:11 PM,part/tech-debt,,,
PART-92,20992,Backend refactor to risk strat bypass implementation,Task,3.0,To Do,PART-234,Express Tech Excellence,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,02/Feb/23 2:08 PM,24/Feb/23 2:48 PM,part/Backend,,,
PART-93,20993,Frontend specs spike: investigate how we can speed up our specs,Task,,To Do,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,02/Feb/23 2:11 PM,24/Feb/23 2:47 PM,part/Frontend,,,
PART-94,20994,Frontend tests: Parallelize and randomize,Task,,To Do,PART-234,Express Tech Excellence,,,02/Feb/23 2:12 PM,24/Feb/23 2:47 PM,part/Frontend,,,
PART-96,20995,Add tests to AccessModal.jsx,Task,,To Do,PART-234,Express Tech Excellence,,,08/Feb/23 10:14 AM,24/Feb/23 2:47 PM,part/Frontend,,,
PART-97,20996,Deprecate useCareRequest and useCareRequestsSearch hooks,Task,,To Do,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,09/Feb/23 12:26 PM,24/Feb/23 2:47 PM,,,,
PART-102,20822,Add alphabetical ordering to partner and users lists (backend),Task,,Done,PART-234,Express Tech Excellence,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,10/Feb/23 12:10 PM,05/Apr/23 8:36 AM,part/Backend,,,
PART-103,20823,Remove flag (FE) - risk_strat_bypass_express,Task,2.0,Canceled,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,13/Feb/23 10:16 AM,02/Mar/23 2:10 PM,part/Frontend,,,
PART-104,20997,Remove flag (BE) - pop_health_service,Task,1.0,Done,PART-234,Express Tech Excellence,Antonio Antillon,61f81bb630f6b8006aa75942,13/Feb/23 10:18 AM,27/Apr/23 1:10 PM,part/Backend,,,
PART-105,20998,partner_express_nse_v3_enabled - spike to explore and create tickets to remove task,Task,2.0,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,13/Feb/23 10:18 AM,25/Apr/23 11:23 AM,part/Frontend,,,
PART-106,20999,Remove flag (BE) - partner_express_nse_v3_enabled,Story,,To Do,PART-234,Express Tech Excellence,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,13/Feb/23 10:19 AM,25/Apr/23 11:28 AM,part/Backend,,,
PART-108,21001,FE: add no focused tests lint rule,Task,0.5,To Do,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,13/Feb/23 11:36 AM,24/Feb/23 2:48 PM,,,,
PART-109,21002,Fix More Flaky  JS Tests in PartnerInformationPage,Task,,Done,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,13/Feb/23 5:01 PM,05/Apr/23 8:36 AM,,,,
PART-110,21003,"Custom hook to detect a device type (isMobile, isTablet, isDesktop)",Task,,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,13/Feb/23 5:25 PM,24/Feb/23 2:47 PM,part/Frontend,,,
PART-111,21004,Map the values from the design to the theme,Task,,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,13/Feb/23 5:26 PM,24/Feb/23 2:47 PM,part/Frontend,,,
PART-112,20856,Flaky Source requests spec,Bug,1.0,To Do,PART-234,Express Tech Excellence,,,14/Feb/23 1:02 PM,24/Feb/23 2:45 PM,part/tech-debt,,,
PART-114,21005,Set Datadog RUM config from statsig context,Task,1.0,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,14/Feb/23 5:23 PM,07/Mar/23 7:35 AM,part/Frontend,,,
PART-115,21006,Configure UAT for Cypress e2e,Task,,To Do,PART-234,Express Tech Excellence,,,15/Feb/23 2:51 PM,02/Mar/23 2:01 PM,,,,
PART-120,21007,FE: fix data dog test / refactor setupTest,Task,,To Do,PART-234,Express Tech Excellence,,,22/Feb/23 1:57 PM,24/Feb/23 2:47 PM,,,,
PART-129,20806,FE: update theme,Task,,Done,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,23/Feb/23 11:19 AM,05/Apr/23 8:36 AM,,,,
PART-137,20807,Dynamic Config for FE vars,Task,3.0,Done,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,24/Feb/23 12:33 PM,07/Apr/23 12:23 PM,part/Frontend,,,
PART-180,20754,"Client: add location, channel and all_status endpoints to MSW",Task,2.0,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,23/May/22 1:39 PM,02/Mar/23 1:49 PM,part/Frontend,part/nse,,
PART-190,21038,Database problems - Clean up care request statuses,Task,,To Do,PART-234,Express Tech Excellence,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,26/May/22 1:58 PM,02/Mar/23 2:05 PM,,,,
PART-191,21039,Database problems - Clean up care request,Task,,Canceled,PART-234,Express Tech Excellence,,,26/May/22 2:01 PM,02/Mar/23 2:05 PM,,,,
PART-229,20763,Use Formik in the partner add and edit market component,Story,2.0,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,18/Jul/22 12:29 PM,27/Feb/23 10:23 AM,,,,
PART-231,20755,Frontend: Call only status service,Task,,To Do,PART-234,Express Tech Excellence,,,19/Jul/22 2:12 PM,27/Feb/23 10:23 AM,part/Frontend,,,
PART-235,21047,Fix Dependabot alerts,Task,,To Do,PART-234,Express Tech Excellence,,,01/Jul/22 10:42 AM,24/Feb/23 2:47 PM,part/Backend,part/Frontend,,
