Issue key,Issue id,Summary,Issue Type,Custom field (Story Points),Status,Custom field (Epic Link),Epic Link Summary,Updated,Created,Assignee,Assignee Id,Labels,Labels,Labels,Labels
PART-66,20985,Configure CI devDependencies,Task,,To Do,PART-234,Express Tech Excellence,02-03-23 14:15,23-01-23 11:48,,,,,,
PART-69,20986,Optimize paginated care request queries (memory),Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:47,24-01-23 13:24,,,part/Backend,,,
PART-76,20987,FE: add jest-mock-extended library - testing with TS easily,Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:47,25-01-23 17:13,,,,,,
PART-79,20988,Lint FE on CI - phase 1,Task,,To Do,PART-234,Express Tech Excellence,07-04-23 13:37,27-01-23 13:14,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-81,20789,Refactor the finalize care - risk strat bypass implementation,Task,3,To Do,PART-234,Express Tech Excellence,07-03-23 7:33,30-01-23 14:35,Giorgi Gelashvili,62cdef6c6eba71983721e037,part/Frontend,,,
PART-83,20989,GitHub pr template: feature gate & pic/vid checkbox,Task,,Done,PART-234,Express Tech Excellence,05-04-23 8:36,31-01-23 11:38,Kevin Anderson,62cdf0d01e326fd93012992d,,,,
PART-91,20991,TechDebt: Eager loading associations in queries,Task,1,To Do,PART-234,Express Tech Excellence,14-03-23 14:11,01-02-23 15:31,Antonio Antillon,61f81bb630f6b8006aa75942,part/tech-debt,,,
PART-92,20992,Backend refactor to risk strat bypass implementation,Task,3,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,02-02-23 14:08,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,part/Backend,,,
PART-93,20993,Frontend specs spike: investigate how we can speed up our specs,Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:47,02-02-23 14:11,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-94,20994,Frontend tests: Parallelize and randomize,Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:47,02-02-23 14:12,,,part/Frontend,,,
PART-96,20995,Add tests to AccessModal.jsx,Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:47,08-02-23 10:14,,,part/Frontend,,,
PART-97,20996,Deprecate useCareRequest and useCareRequestsSearch hooks,Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:47,09-02-23 12:26,Kevin Anderson,62cdf0d01e326fd93012992d,,,,
PART-102,20822,Add alphabetical ordering to partner and users lists (backend),Task,,Done,PART-234,Express Tech Excellence,05-04-23 8:36,10-02-23 12:10,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,part/Backend,,,
PART-103,20823,Remove flag (FE) - risk_strat_bypass_express,Task,2,Canceled,PART-234,Express Tech Excellence,02-03-23 14:10,13-02-23 10:16,Giorgi Gelashvili,62cdef6c6eba71983721e037,part/Frontend,,,
